cosine (COM),scatter angle (COM),sine (COM),tan (COM),cos + 1/A,ratio,scatter angle (LAB),E= 1 MeV - angular differential XS (b/sr),E=1 eV - Angular  differential XS (b/sr),E=1 MeV - angular distribution (1/sr),E=1 eV - Angular distribution (1/sr),1 MeV cross section (barn),Ef/Ei
0.24,76.11345964,0.970772888,0.012754287,1.24,0.782881361,38.05672982,0.337734155,1.646850201,0.499758082,0.499999999,1.479738056,0.62
0.25,75.52248781,0.968245837,0.01282063,1.25,0.774596669,37.76124391,0.337726463,1.646850201,0.4997467,0.499999999,1.479738056,0.625
0.26,74.92993786,0.965608616,0.01288682,1.26,0.766356045,37.46496893,0.337718761,1.646850201,0.499735303,0.499999999,1.479738056,0.63
0.27,74.33573315,0.962860322,0.01295286,1.27,0.758157734,37.16786657,0.337711047,1.646850201,0.499723889,0.499999999,1.479738056,0.635
0.28,73.73979529,0.96,0.013018751,1.28,0.75,36.86989765,0.337703323,1.646850201,0.499712459,0.499999999,1.479738056,0.64
0.29,73.14204398,0.957026645,0.013084494,1.29,0.74188112,36.57102199,0.337695588,1.646850201,0.499701012,0.499999999,1.479738056,0.645
0.3,72.54239688,0.953939201,0.013150092,1.3,0.733799386,36.27119844,0.337687841,1.646850201,0.49968955,0.499999999,1.479738056,0.65
0.31,71.94076951,0.950736557,0.013215546,1.31,0.725753097,35.97038475,0.337680084,1.646850201,0.499678072,0.499999999,1.479738056,0.655
0.32,71.33707512,0.947417543,0.013280858,1.32,0.717740563,35.66853756,0.337672316,1.646850201,0.499666577,0.499999999,1.479738056,0.66
0.33,70.73122451,0.943980932,0.013346028,1.33,0.709760099,35.36561225,0.337664537,1.646850201,0.499655066,0.499999999,1.479738056,0.665
0.34,70.12312593,0.940425436,0.01341106,1.34,0.701810027,35.06156296,0.337656747,1.646850201,0.499643539,0.499999999,1.479738056,0.67
0.35,69.51268489,0.9367497,0.013475953,1.35,0.693888666,34.75634244,0.337648946,1.6468502,0.499631995,0.499999999,1.479738056,0.675
0.36,68.89980398,0.932952303,0.013540711,1.36,0.685994341,34.44990199,0.337641134,1.6468502,0.499620436,0.499999999,1.479738056,0.68
0.37,68.28438272,0.929031754,0.013605333,1.37,0.678125368,34.14219136,0.337633311,1.6468502,0.49960886,0.499999999,1.479738056,0.685
0.38,67.66631734,0.924986486,0.013669822,1.38,0.670280063,33.83315867,0.337625477,1.6468502,0.499597268,0.499999999,1.479738056,0.69
0.39,67.0455006,0.920814857,0.013734178,1.39,0.662456731,33.5227503,0.337617632,1.6468502,0.499585659,0.499999999,1.479738056,0.695
0.4,66.42182152,0.916515139,0.013798404,1.4,0.654653671,33.21091076,0.337609777,1.6468502,0.499574034,0.499999999,1.479738056,0.7
0.41,65.7951652,0.912085522,0.013862501,1.41,0.646869165,32.8975826,0.33760191,1.6468502,0.499562394,0.499999999,1.479738056,0.705
0.42,65.16541251,0.907524104,0.013926469,1.42,0.639101482,32.58270626,0.337594032,1.6468502,0.499550736,0.499999999,1.479738056,0.71
0.43,64.53243986,0.902828887,0.013990311,1.43,0.631348872,32.26621993,0.337586143,1.6468502,0.499539063,0.499999999,1.479738056,0.715
