cosine (COM),scatter angle (COM),sine (COM),tan (COM),cos + 1/A,ratio,scatter angle (LAB),E= 1 MeV - angular differential XS (b/sr),E=1 eV - Angular  differential XS (b/sr),E=1 MeV - angular distribution (1/sr),E=1 eV - Angular distribution (1/sr),1 MeV cross section (barn),Ef/Ei
-0.02,91.145992,0.99979998,0.010969215,0.98,1.020204061,45.572996,0.337930335,1.646850203,0.500048377,0.5,1.479738056,0.49
-0.01,90.57296734,0.999949999,0.01104027,0.99,1.010050504,45.28648367,0.337922924,1.646850203,0.500037411,0.5,1.479738056,0.495
0,90,1,0.011111111,1,1,45,0.337915503,1.646850203,0.500026429,0.5,1.479738056,0.5
0.01,89.42703266,0.999949999,0.011181742,1.01,0.990049504,44.71351633,0.337908071,1.646850203,0.500015431,0.5,1.479738056,0.505
0.02,88.854008,0.99979998,0.011252165,1.02,0.980196059,44.427004,0.337900628,1.646850203,0.500004418,0.5,1.479738056,0.51
0.03,88.28086868,0.999549899,0.011322384,1.03,0.970436795,44.14043434,0.337893174,1.646850203,0.499993388,0.5,1.479738056,0.515
0.04,87.70755722,0.99919968,0.011392401,1.04,0.960768923,43.85377861,0.33788571,1.646850203,0.499982343,0.5,1.479738056,0.52
0.05,87.13401602,0.998749218,0.01146222,1.05,0.951189731,43.56700801,0.337878235,1.646850203,0.499971282,0.5,1.479738056,0.525
0.06,86.56018723,0.998198377,0.011531842,1.06,0.941696582,43.28009362,0.337870749,1.646850203,0.499960205,0.5,1.479738056,0.53
0.07,85.98601278,0.997546991,0.01160127,1.07,0.932286908,42.99300639,0.337863252,1.646850203,0.499949112,0.5,1.479738056,0.535
0.08,85.41143426,0.996794864,0.011670508,1.08,0.922958207,42.70571713,0.337855745,1.646850203,0.499938003,0.5,1.479738056,0.54
0.09,84.83639291,0.995941765,0.011739558,1.09,0.913708042,42.41819645,0.337848226,1.646850203,0.499926878,0.5,1.479738056,0.545
0.1,84.26082952,0.994987437,0.011808422,1.1,0.904534034,42.13041476,0.337840697,1.646850202,0.499915737,0.5,1.479738056,0.55
0.11,83.68468443,0.993931587,0.011877103,1.11,0.895433862,41.84234222,0.337833158,1.646850202,0.49990458,0.5,1.479738056,0.555
0.12,83.10789742,0.992773892,0.011945602,1.12,0.88640526,41.55394871,0.337825607,1.646850202,0.499893407,0.5,1.479738056,0.56
0.13,82.53040768,0.991513994,0.012013923,1.13,0.877446012,41.26520384,0.337818046,1.646850202,0.499882218,0.5,1.479738056,0.565
0.14,81.95215375,0.990151504,0.012082068,1.14,0.86855395,40.97607688,0.337810473,1.646850202,0.499871013,0.5,1.479738056,0.57
0.15,81.37307344,0.988685997,0.012150039,1.15,0.859726954,40.68653672,0.33780289,1.646850202,0.499859792,0.5,1.479738056,0.575
0.16,80.79310378,0.987117014,0.012217838,1.16,0.850962943,40.39655189,0.337795297,1.646850202,0.499848555,0.5,1.479738056,0.58
0.17,80.21218094,0.985444062,0.012285467,1.17,0.842259882,40.10609047,0.337787692,1.646850202,0.499837302,0.5,1.479738056,0.585
0.18,79.63024019,0.98366661,0.012352928,1.18,0.833615771,39.8151201,0.337780076,1.646850202,0.499826034,0.5,1.479738056,0.59
0.19,79.0472158,0.98178409,0.012420224,1.19,0.825028647,39.5236079,0.33777245,1.646850202,0.499814748,0.5,1.479738056,0.595
0.2,78.46304097,0.979795897,0.012487356,1.2,0.816496581,39.23152048,0.337764813,1.646850202,0.499803447,0.5,1.479738056,0.6
0.21,77.87764776,0.977701386,0.012554326,1.21,0.808017674,38.93882388,0.337757165,1.646850202,0.49979213,0.499999999,1.479738056,0.605
0.22,77.29096701,0.975499872,0.012621137,1.22,0.799590059,38.6454835,0.337749506,1.646850201,0.499780797,0.499999999,1.479738056,0.61
0.23,76.70292825,0.973190629,0.01268779,1.23,0.791211893,38.35146413,0.337741836,1.646850201,0.499769447,0.499999999,1.479738056,0.615
