cosine (COM),scatter angle (COM),sine (COM),tan (COM),cos + 1/A,ratio,scatter angle (LAB),E= 1MeV - angular distribution (1/sr),E=109.93 eV - Angular distribution (1/sr),E= 1MeV - angular differential XS (b/sr),E=100 eV - Angular differential XS (b/sr)2,1 MeV cross section (barn),100 eV cross section,Ef/Ei
0.3,72.54239688,0.953939201,0.013150092,0.3625,2.631556418,69.19304611,0.167656876,0.499986349,0.217548488,0.306511121,1.297581657,0.613038978,0.65
0.31,71.94076951,0.950736557,0.013215546,0.3725,2.552312904,68.60468004,0.176187555,0.499985894,0.228617739,0.306510867,1.297581657,0.613039029,0.655
0.32,71.33707512,0.947417543,0.013280858,0.3825,2.476908608,68.01463823,0.184994544,0.499985439,0.240045527,0.306510613,1.297581657,0.613039079,0.66
0.33,70.73122451,0.943980932,0.013346028,0.3925,2.405046961,67.42283509,0.194077862,0.499984984,0.251831874,0.306510359,1.297581657,0.61303913,0.665
0.34,70.12312593,0.940425436,0.01341106,0.4025,2.33646071,66.82918268,0.203437526,0.499984529,0.263976802,0.306510106,1.297581657,0.61303918,0.67
0.35,69.51268489,0.9367497,0.013475953,0.4125,2.270908363,66.23359052,0.213073551,0.499984074,0.276480332,0.306509852,1.297581657,0.613039231,0.675
0.36,68.89980398,0.932952303,0.013540711,0.4225,2.208171132,65.63596549,0.222985956,0.499983619,0.289342487,0.306509598,1.297581657,0.613039281,0.68
0.37,68.28438272,0.929031754,0.013605333,0.4325,2.148050298,65.03621159,0.233174758,0.499983164,0.302563289,0.306509344,1.297581657,0.613039331,0.685
0.38,67.66631734,0.924986486,0.013669822,0.4425,2.090364941,64.43422979,0.243639973,0.499982708,0.31614276,0.306509091,1.297581657,0.613039382,0.69
0.39,67.0455006,0.920814857,0.013734178,0.4525,2.034949959,63.82991785,0.25438162,0.499982253,0.330080924,0.306508837,1.297581657,0.613039432,0.695
0.4,66.42182152,0.916515139,0.013798404,0.4625,1.981654355,63.22317008,0.265399716,0.499981798,0.344377803,0.306508583,1.297581657,0.613039483,0.7
0.41,65.7951652,0.912085522,0.013862501,0.4725,1.93033973,62.61387714,0.276694279,0.499981343,0.35903342,0.306508329,1.297581657,0.613039533,0.705
0.42,65.16541251,0.907524104,0.013926469,0.4825,1.880878973,62.00192577,0.288265326,0.499980888,0.374047799,0.306508076,1.297581657,0.613039583,0.71
0.43,64.53243986,0.902828887,0.013990311,0.4925,1.833155101,61.38719857,0.300112875,0.499980433,0.389420962,0.306507822,1.297581657,0.613039634,0.715
0.44,63.89611886,0.897997773,0.014054027,0.5025,1.787060244,60.76957368,0.312236945,0.499979978,0.405152932,0.306507568,1.297581657,0.613039684,0.72
0.45,63.25631605,0.893028555,0.014117619,0.5125,1.742494741,60.14892451,0.324637554,0.499979523,0.421243735,0.306507314,1.297581657,0.613039735,0.725
0.46,62.6128925,0.887918915,0.014181088,0.5225,1.699366345,59.52511939,0.337314719,0.499979068,0.437693392,0.306507061,1.297581657,0.613039785,0.73
0.47,61.96570347,0.882666415,0.014244435,0.5325,1.657589512,58.89802126,0.350268461,0.499978613,0.454501929,0.306506807,1.297581657,0.613039836,0.735
0.48,61.31459799,0.877268488,0.014307661,0.5425,1.61708477,58.26748723,0.363498796,0.499978158,0.47166937,0.306506553,1.297581657,0.613039886,0.74
0.49,60.65941842,0.871722433,0.014370768,0.5525,1.577778159,57.6333682,0.377005744,0.499977703,0.489195738,0.306506299,1.297581657,0.613039936,0.745
0.5,60,0.866025404,0.014433757,0.5625,1.539600718,56.9955084,0.390789324,0.499977248,0.507081058,0.306506046,1.297581657,0.613039987,0.75
0.51,59.33617026,0.860174401,0.014496628,0.5725,1.502488037,56.35374492,0.404849553,0.499976793,0.525325354,0.306505792,1.297581657,0.613040037,0.755
0.52,58.6677485,0.85416626,0.014559384,0.5825,1.466379846,55.70790714,0.419186453,0.499976338,0.543928652,0.306505538,1.297581657,0.613040088,0.76
0.53,57.99454517,0.847997642,0.014622024,0.5925,1.431219648,55.05781616,0.433800041,0.499975883,0.562890976,0.306505284,1.297581657,0.613040138,0.765
0.54,57.31636115,0.841665017,0.014684551,0.6025,1.396954384,54.40328417,0.448690337,0.499975428,0.582212351,0.30650503,1.297581657,0.613040188,0.77
0.55,56.63298703,0.835164654,0.014746965,0.6125,1.36353413,53.7441137,0.463857361,0.499974973,0.601892803,0.306504777,1.297581657,0.613040239,0.775
0.56,55.94420226,0.828492607,0.014809267,0.6225,1.330911819,53.08009692,0.479301131,0.499974518,0.621932356,0.306504523,1.297581657,0.613040289,0.78
0.57,55.24977425,0.821644692,0.014871458,0.6325,1.299042991,52.41101469,0.495021668,0.499974063,0.642331036,0.306504269,1.297581657,0.61304034,0.785
0.58,54.54945736,0.814616474,0.014933539,0.6425,1.267885563,51.7366357,0.511018991,0.499973608,0.663088869,0.306504015,1.297581657,0.61304039,0.79
0.59,53.8429918,0.807403245,0.014995512,0.6525,1.237399609,51.05671537,0.527293121,0.499973153,0.684205881,0.306503762,1.297581657,0.613040441,0.795
0.6,53.13010235,0.8,0.015057377,0.6625,1.20754717,50.3709947,0.543844077,0.499972698,0.705682098,0.306503508,1.297581657,0.613040491,0.8
0.61,52.41049704,0.792401413,0.015119136,0.6725,1.178292065,49.67919897,0.560671879,0.499972243,0.727517545,0.306503254,1.297581657,0.613040541,0.805
0.62,51.68386553,0.78460181,0.015180788,0.6825,1.149599721,48.98103632,0.577776548,0.499971788,0.74971225,0.306503,1.297581657,0.613040592,0.81
0.63,50.94987746,0.776595133,0.015242336,0.6925,1.121437015,48.27619609,0.595158103,0.499971332,0.772266238,0.306502747,1.297581657,0.613040642,0.815
0.64,50.2081805,0.768374908,0.015303779,0.7025,1.093772112,47.56434705,0.612816567,0.499970877,0.795179536,0.306502493,1.297581657,0.613040693,0.82
0.65,49.45839813,0.759934208,0.01536512,0.7125,1.066574327,46.84513529,0.630751958,0.499970422,0.818452171,0.306502239,1.297581657,0.613040743,0.825
0.66,48.70012721,0.751265599,0.015426358,0.7225,1.039813978,46.118182,0.648964299,0.499969967,0.84208417,0.306501985,1.297581657,0.613040793,0.83
0.67,47.9329352,0.742361098,0.015487495,0.7325,1.01346225,45.38308074,0.667453609,0.499969512,0.86607556,0.306501732,1.297581657,0.613040844,0.835
