cosine (COM),scatter angle (COM),sine (COM),tan (COM),cos + 1/A,ratio,scatter angle (LAB),E= 1.000069 MeV - angular differential XS (b/sr),E=1 eV - Angular  differential XS (b/sr),E=998 keV - angular distribution (1/sr),E=45.81 keV - Angular ddistribution (1/sr),1 MeV cross section (barn),Ef/Ei
0.25,75.52248781,0.968245837,0.01282063,0.267857143,3.614784456,74.53633809,0.098413145,0.958911816,0.320187428,0.502403662,3.253502634,0.986842105
0.26,74.92993786,0.965608616,0.01288682,0.277857143,3.475198105,73.94664836,0.099034429,0.958911837,0.321416472,0.502899934,3.245502356,0.987017544
0.27,74.33573315,0.962860322,0.01295286,0.287857143,3.344924196,73.35541594,0.099703578,0.958911858,0.322806885,0.503402439,3.237666016,0.987192982
0.28,73.73979529,0.96,0.013018751,0.297857143,3.223021583,72.76256333,0.100421708,0.958911879,0.324362863,0.503911727,3.230007421,0.987368421
0.29,73.14204398,0.957026645,0.013084494,0.307857143,3.108671238,72.1680112,0.10118995,0.958911901,0.326088657,0.504428368,3.222539959,0.98754386
0.3,72.54239688,0.953939201,0.013150092,0.317857143,3.001157038,71.57167822,0.102009446,0.958911923,0.327988578,0.504952944,3.21527653,0.987719298
0.31,71.94076951,0.950736557,0.013215546,0.327857143,2.899850064,70.97348098,0.102881354,0.958911945,0.330066993,0.505486055,3.208229488,0.987894737
0.32,71.33707512,0.947417543,0.013280858,0.337857143,2.804195686,70.37333387,0.103806844,0.958911968,0.332328328,0.506028319,3.201410577,0.988070175
0.33,70.73122451,0.943980932,0.013346028,0.347857143,2.713702885,69.77114886,0.104787101,0.958911991,0.334777066,0.506580365,3.194830884,0.988245614
0.34,70.12312593,0.940425436,0.01341106,0.357857143,2.627935349,69.16683546,0.105823323,0.958912014,0.337417749,0.507142844,3.188500782,0.988421053
0.35,69.51268489,0.9367497,0.013475953,0.367857143,2.546504038,68.56030048,0.106916723,0.958912038,0.340254976,0.507716418,3.182429891,0.988596491
0.36,68.89980398,0.932952303,0.013540711,0.377857143,2.469060916,67.95144791,0.108068527,0.958912063,0.343293404,0.508301769,3.176627036,0.98877193
0.37,68.28438272,0.929031754,0.013605333,0.387857143,2.395293657,67.34017871,0.109279973,0.958912088,0.346537747,0.508899592,3.171100217,0.988947368
0.38,67.66631734,0.924986486,0.013669822,0.397857143,2.324921151,66.72639064,0.110552316,0.958912113,0.349992778,0.5095106,3.165856582,0.989122807
0.39,67.0455006,0.920814857,0.013734178,0.407857143,2.257689666,66.10997805,0.111886823,0.95891214,0.353663327,0.510135521,3.160902403,0.989298246
0.4,66.42182152,0.916515139,0.013798404,0.417857143,2.193369563,65.49083167,0.113284774,0.958912166,0.357554283,0.5107751,3.156243067,0.989473684
0.41,65.7951652,0.912085522,0.013862501,0.427857143,2.131752473,64.86883835,0.114747464,0.958912194,0.36167059,0.511430097,3.151883068,0.989649123
0.42,65.16541251,0.907524104,0.013926469,0.437857143,2.072648852,64.24388083,0.116276203,0.958912222,0.366017254,0.51210129,3.147826002,0.989824561
0.43,64.53243986,0.902828887,0.013990311,0.447857143,2.015885873,63.61583748,0.117872311,0.958912251,0.370599336,0.512789469,3.144074575,0.99
0.44,63.89611886,0.897997773,0.014054027,0.457857143,1.961305588,62.98458198,0.119537125,0.95891228,0.375421954,0.513495446,3.140630614,0.990175439
0.45,63.25631605,0.893028555,0.014117619,0.467857143,1.908763324,62.34998302,0.121271995,0.958912311,0.380490287,0.514220043,3.137495079,0.990350877
0.46,62.6128925,0.887918915,0.014181088,0.477857143,1.85812628,61.71190396,0.123078284,0.958912342,0.385809568,0.514964103,3.134668091,0.990526316
0.47,61.96570347,0.882666415,0.014244435,0.487857143,1.8092723,61.07020245,0.124957369,0.958912374,0.391385092,0.515728482,3.13214895,0.990701754
0.48,61.31459799,0.877268488,0.014307661,0.497857143,1.762088785,60.42473006,0.126910642,0.958912407,0.397222208,0.516514053,3.129936171,0.990877193
0.49,60.65941842,0.871722433,0.014370768,0.507857143,1.716471738,59.77533182,0.128939507,0.95891244,0.403326326,0.517321705,3.128027518,0.991052632
0.5,60,0.866025404,0.014433757,0.517857143,1.672324918,59.12184575,0.131045383,0.958912475,0.40970291,0.518152344,3.126420036,0.99122807
0.51,59.33617026,0.860174401,0.014496628,0.527857143,1.629559082,58.46410236,0.133229702,0.958912511,0.416357486,0.51900689,3.125110098,0.991403509
0.52,58.6677485,0.85416626,0.014559384,0.537857143,1.58809132,57.80192408,0.13549391,0.958912548,0.423295635,0.519886281,3.124093444,0.991578947
0.53,57.99454517,0.847997642,0.014622024,0.547857143,1.547844456,57.13512465,0.137839467,0.958912586,0.430522997,0.52079147,3.123365224,0.991754386
0.54,57.31636115,0.841665017,0.014684551,0.557857143,1.508746508,56.46350846,0.140267846,0.958912625,0.438045269,0.521723427,3.122920045,0.991929825
0.55,56.63298703,0.835164654,0.014746965,0.567857143,1.470730209,55.78686977,0.142780536,0.958912665,0.445868206,0.522683137,3.122752021,0.992105263
0.56,55.94420226,0.828492607,0.014809267,0.577857143,1.433732571,55.10499195,0.145379036,0.958912706,0.453997623,0.523671602,3.122854812,0.992280702
0.57,55.24977425,0.821644692,0.014871458,0.587857143,1.397694494,54.41764656,0.148064862,0.958912749,0.462439389,0.524689839,3.12322168,0.99245614
0.58,54.54945736,0.814616474,0.014933539,0.597857143,1.362560411,53.72459237,0.150839543,0.958912793,0.471199433,0.525738882,3.123845528,0.992631579
0.59,53.8429918,0.807403245,0.014995512,0.607857143,1.328277959,53.02557424,0.153704621,0.958912838,0.480283742,0.52681978,3.12471895,0.992807018
0.6,53.13010235,0.8,0.015057377,0.617857143,1.294797688,52.32032194,0.156661652,0.958912885,0.48969836,0.5279336,3.125834272,0.992982456
0.61,52.41049704,0.792401413,0.015119136,0.627857143,1.262072786,51.60854876,0.159712205,0.958912933,0.49944939,0.529081423,3.127183602,0.993157895
0.62,51.68386553,0.78460181,0.015180788,0.637857143,1.230058828,50.88995003,0.162857866,0.958912982,0.50954299,0.530264348,3.128758863,0.993333333
0.63,50.94987746,0.776595133,0.015242336,0.647857143,1.198713545,50.16420142,0.16610023,0.958913033,0.51998538,0.531483488,3.130551839,0.993508772
